Cluster,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
hsa-miR-182-5p,MF,GO:0045296,cadherin binding,36/234,334/20820,0.1078,9.5901,16.873,0,0,0,EIF2A/PFKP/ALDOA/ANXA2/BSG/CAPZA1/CAPZB/CCT8/EEF2/ENO1/F11R/FLNA/HNRNPK/HSP90AB1/HSPA8/IDH1/ITGB1/MAPRE1/PAK2/PFN1/PKM/PPME1/PRDX1/PTPRJ/RAB11B/RAB1A/RDX/RPL14/RPL29/SRC/TLN1/VCL/WASF2/YWHAB/YWHAE/YWHAZ,36
hsa-miR-182-5p,MF,GO:0051082,unfolded protein binding,13/234,121/20820,0.1074,9.5592,10.0671,0,0,0,CCT5/CCT8/GRPEL1/HSP90AA1/HSP90AB1/HSP90B1/HSPA8/HSPD1/HYOU1/NACA/NAP1L4/PPIA/TRAP1,13
hsa-miR-182-5p,BP,GO:0010714,positive regulation of collagen metabolic process,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,F2/ITGA2/VIM,3
hsa-miR-182-5p,BP,GO:0039529,RIG-I signaling pathway,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,C1QBP/PHB1/PHB2,3
hsa-miR-182-5p,CC,GO:0044295,axonal growth cone,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,FLNA/HSP90AA1/HSP90AB1,3
hsa-miR-182-5p,MF,GO:0046625,sphingolipid binding,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,VDAC1/PHB2/VDAC2,3
hsa-miR-182-5p,BP,GO:0086013,membrane repolarization during cardiac muscle cell action potential,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,ATP1A1/FLNA/YWHAE,3
hsa-miR-182-5p,MF,GO:0097718,disordered domain specific binding,3/234,28/20820,0.1071,9.533,4.8171,0.0037,0.0259,0.0186,GAPDH/HSP90AA1/HSP90AB1,3
hsa-miR-182-5p,BP,GO:0030865,cortical cytoskeleton organization,6/234,57/20820,0.1053,9.3657,6.7429,0,8e-04,6e-04,IQGAP2/NCKAP1/RAC1/ROCK2/TLN1/WDR1,6
hsa-miR-182-5p,MF,GO:0043531,ADP binding,4/234,38/20820,0.1053,9.3657,5.503,9e-04,0.0086,0.0062,ATP5F1A/MYO18A/PGK1/VCP,4
hsa-miR-182-5p,BP,GO:0032210,regulation of telomere maintenance via telomerase,5/234,48/20820,0.1042,9.2682,6.1142,2e-04,0.0029,0.0021,CCT5/CCT8/HNRNPD/HSP90AA1/TENT4B,5
hsa-miR-182-5p,BP,GO:0045010,actin nucleation,6/234,58/20820,0.1034,9.2042,6.6707,0,9e-04,7e-04,HIP1R/ARPC2/ARPC3/IQGAP2/NCKAP1/WASF2,6
hsa-miR-182-5p,BP,GO:0031281,positive regulation of cyclase activity,3/234,29/20820,0.1034,9.2042,4.7136,0.0041,0.028,0.0201,CAP1/GNAS/RAF1,3
hsa-miR-182-5p,BP,GO:0034695,response to prostaglandin E,3/234,29/20820,0.1034,9.2042,4.7136,0.0041,0.028,0.0201,ADCY6/GNAS/GNB1,3
hsa-miR-182-5p,MF,GO:0043236,laminin binding,3/234,29/20820,0.1034,9.2042,4.7136,0.0041,0.028,0.0201,ITGA2/ITGB1/NID1,3
hsa-miR-182-5p,BP,GO:0051349,positive regulation of lyase activity,3/234,29/20820,0.1034,9.2042,4.7136,0.0041,0.028,0.0201,CAP1/GNAS/RAF1,3
hsa-miR-182-5p,BP,GO:1902683,regulation of receptor localization to synapse,3/234,29/20820,0.1034,9.2042,4.7136,0.0041,0.028,0.0201,ADAM10/ITGB3/STX7,3
hsa-miR-182-5p,BP,GO:0006096,glycolytic process,10/234,97/20820,0.1031,9.1726,8.6015,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,MF,GO:0044325,transmembrane transporter binding,14/234,136/20820,0.1029,9.1591,10.1777,0,0,0,VDAC1/ATP1A1/CALM1/CIB1/DIAPH1/FLNA/HSP90AA1/PRKCSH/SRC/YES1/YWHAE/YWHAH/YWHAQ/YWHAZ,14
hsa-miR-182-5p,BP,GO:0150116,regulation of cell-substrate junction organization,7/234,68/20820,0.1029,9.1591,7.1849,0,3e-04,2e-04,CORO1C/PTPRJ/RAC1/ROCK2/SRC/TLN1/VCL,7
hsa-miR-182-5p,BP,GO:0007339,binding of sperm to zona pellucida,4/234,39/20820,0.1026,9.1256,5.4151,9e-04,0.0093,0.0067,ALDOA/CCT5/CCT8/VDAC2,4
hsa-miR-182-5p,BP,GO:0035633,maintenance of blood-brain barrier,4/234,39/20820,0.1026,9.1256,5.4151,9e-04,0.0093,0.0067,ACTB/F11R/ITGB1/VCL,4
hsa-miR-182-5p,BP,GO:0006090,pyruvate metabolic process,13/234,127/20820,0.1024,9.1076,9.7709,0,0,0,PFKM/PFKP/VDAC1/ALDOA/ENO1/GAPDH/GPI/LDHB/PGAM1/PGK1/PKM/SLC16A1/SRC,13
hsa-miR-182-5p,BP,GO:0061028,establishment of endothelial barrier,5/234,49/20820,0.102,9.079,6.0364,2e-04,0.0031,0.0022,F11R/MSN/RDX/ROCK2/VCL,5
hsa-miR-182-5p,BP,GO:0098927,vesicle-mediated transport between endosomal compartments,5/234,49/20820,0.102,9.079,6.0364,2e-04,0.0031,0.0022,FLNA/MSN/RAB7A/RDX/SRC,5
hsa-miR-182-5p,BP,GO:0034332,adherens junction organization,6/234,59/20820,0.1017,9.0482,6.6002,1e-04,0.001,7e-04,ACTB/ADAM10/PAK2/RDX/SRC/VCL,6
hsa-miR-182-5p,MF,GO:0045309,protein phosphorylated amino acid binding,6/234,59/20820,0.1017,9.0482,6.6002,1e-04,0.001,7e-04,PFN1/SHB/YES1/YWHAB/YWHAE/YWHAZ,6
hsa-miR-182-5p,BP,GO:0006278,RNA-templated DNA biosynthetic process,7/234,69/20820,0.1014,9.0264,7.1199,0,3e-04,2e-04,CCT5/CCT8/HNRNPD/HSP90AA1/HSP90AB1/RPA1/TENT4B,7
hsa-miR-182-5p,BP,GO:0046032,ADP catabolic process,10/234,99/20820,0.101,8.9873,8.4931,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,CC,GO:0030864,cortical actin cytoskeleton,8/234,80/20820,0.1,8.8974,7.5453,0,1e-04,1e-04,HIP1R/CAP1/EEF1A1/FLOT1/FLOT2/RDX/VCL/WDR1,8
hsa-miR-182-5p,BP,GO:0002347,response to tumor cell,5/234,50/20820,0.1,8.8974,5.9608,2e-04,0.0034,0.0024,CD226/CD274/HLA-A/HSPD1/YWHAG,5
hsa-miR-182-5p,MF,GO:0001968,fibronectin binding,3/234,30/20820,0.1,8.8974,4.615,0.0045,0.0303,0.0218,FBLN1/ITGB1/ITGB3,3
hsa-miR-182-5p,MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,3/234,30/20820,0.1,8.8974,4.615,0.0045,0.0303,0.0218,ELAVL1/HNRNPD/ILF3,3
hsa-miR-182-5p,BP,GO:0019364,pyridine nucleotide catabolic process,10/234,101/20820,0.099,8.8093,8.3877,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0009137,purine nucleoside diphosphate catabolic process,10/234,102/20820,0.098,8.723,8.3361,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0009181,purine ribonucleoside diphosphate catabolic process,10/234,102/20820,0.098,8.723,8.3361,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0035036,sperm-egg recognition,5/234,51/20820,0.098,8.723,5.8873,3e-04,0.0036,0.0026,ALDOA/CCT5/CCT8/CD9/VDAC2,5
hsa-miR-182-5p,BP,GO:0010762,regulation of fibroblast migration,4/234,41/20820,0.0976,8.6804,5.2483,0.0011,0.0108,0.0078,CORO1C/ITGB1/ITGB3/RAC1,4
hsa-miR-182-5p,BP,GO:0030866,cortical actin cytoskeleton organization,4/234,41/20820,0.0976,8.6804,5.2483,0.0011,0.0108,0.0078,IQGAP2/NCKAP1/ROCK2/TLN1,4
hsa-miR-182-5p,CC,GO:1905360,GTPase complex,4/234,41/20820,0.0976,8.6804,5.2483,0.0011,0.0108,0.0078,GNAI2/GNAS/GNB1/GNG5,4
hsa-miR-182-5p,CC,GO:0001726,ruffle,18/234,185/20820,0.0973,8.657,11.153,0,0,0,HIP1R/CFL1/CIB1/CORO1C/DIAPH1/EEF1A1/GNAS/ITGB1/ITGB3/NCKAP1/NME1/PTPRJ/RAC1/S100A6/SRC/TESC/TLN1/WASF2,18
hsa-miR-182-5p,CC,GO:0101002,ficolin-1-rich granule,18/234,185/20820,0.0973,8.657,11.153,0,0,0,ALDOA/CCT8/CD55/DIAPH1/EEF1A1/EEF2/GPI/HSP90AA1/HSP90AB1/HSPA8/IDH1/PGAM1/PKM/PPIA/RAC1/SLC2A3/VCL/VCP,18
hsa-miR-182-5p,BP,GO:0150115,cell-substrate junction organization,10/234,103/20820,0.0971,8.6383,8.2852,0,0,0,CORO1C/ITGA2/ITGB3/PTPRJ/RAB8B/RAC1/ROCK2/SRC/TLN1/VCL,10
hsa-miR-182-5p,MF,GO:0051219,phosphoprotein binding,9/234,93/20820,0.0968,8.6104,7.8421,0,0,0,PFN1/PHF6/PRKCSH/SHB/SRC/YES1/YWHAB/YWHAE/YWHAZ,9
hsa-miR-182-5p,BP,GO:0007566,embryo implantation,6/234,62/20820,0.0968,8.6104,6.3983,1e-04,0.0013,9e-04,FBLN1/BSG/C1QBP/ITGB3/RPL29/TRIM28,6
hsa-miR-182-5p,CC,GO:0008305,integrin complex,3/234,31/20820,0.0968,8.6104,4.5209,0.005,0.0326,0.0235,ITGA2/ITGB1/ITGB3,3
hsa-miR-182-5p,BP,GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,3/234,31/20820,0.0968,8.6104,4.5209,0.005,0.0326,0.0235,HIP1R/NCKAP1/WASF2,3
hsa-miR-182-5p,BP,GO:1900027,regulation of ruffle assembly,3/234,31/20820,0.0968,8.6104,4.5209,0.005,0.0326,0.0235,CORO1C/PFN1/RDX,3
hsa-miR-182-5p,CC,GO:0072562,blood microparticle,14/234,145/20820,0.0966,8.5906,9.7789,0,0,0,EIF2A/ACTB/ANXA5/CP/F13A1/F2/HPX/HSPA8/ITIH2/MSN/PFN1/PSMC5/TFRC/YWHAZ,14
hsa-miR-182-5p,BP,GO:0072526,pyridine-containing compound catabolic process,10/234,104/20820,0.0962,8.5552,8.235,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0009191,ribonucleoside diphosphate catabolic process,10/234,105/20820,0.0952,8.4737,8.1854,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0046031,ADP metabolic process,10/234,105/20820,0.0952,8.4737,8.1854,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0044319,wound healing spreading of cells,4/234,42/20820,0.0952,8.4737,5.1691,0.0012,0.0115,0.0083,CD44/FLNA/ITGB1/ITGB3,4
hsa-miR-182-5p,BP,GO:0090505,epiboly involved in wound healing,4/234,42/20820,0.0952,8.4737,5.1691,0.0012,0.0115,0.0083,CD44/FLNA/ITGB1/ITGB3,4
hsa-miR-182-5p,BP,GO:0099622,cardiac muscle cell membrane repolarization,4/234,42/20820,0.0952,8.4737,5.1691,0.0012,0.0115,0.0083,ATP1A1/FLNA/WDR1/YWHAE,4
hsa-miR-182-5p,CC,GO:0101031,protein folding chaperone complex,4/234,42/20820,0.0952,8.4737,5.1691,0.0012,0.0115,0.0083,CCT5/CCT8/HSP90AB1/HSPA8,4
hsa-miR-182-5p,CC,GO:0015935,small ribosomal subunit,7/234,74/20820,0.0946,8.4165,6.814,0,4e-04,3e-04,EIF2A/RPS13/RPS18/RPS5/RPS6/RPS7/RPS9,7
hsa-miR-182-5p,MF,GO:0048029,monosaccharide binding,7/234,74/20820,0.0946,8.4165,6.814,0,4e-04,3e-04,PFKM/ALDOA/BSG/G6PD/GPI/SLC2A3/UGP2,7
hsa-miR-182-5p,BP,GO:0048041,focal adhesion assembly,8/234,85/20820,0.0941,8.3741,7.263,0,1e-04,1e-04,CORO1C/ITGA2/PTPRJ/RAC1/ROCK2/SRC/TLN1/VCL,8
hsa-miR-182-5p,BP,GO:0007044,cell-substrate junction assembly,9/234,96/20820,0.0938,8.3413,7.6865,0,0,0,CORO1C/ITGA2/ITGB3/PTPRJ/RAC1/ROCK2/SRC/TLN1/VCL,9
hsa-miR-182-5p,CC,GO:0000502,proteasome complex,6/234,64/20820,0.0938,8.3413,6.2711,1e-04,0.0015,0.0011,PSMA1/PSMA4/PSMA7/PSMC5/RAD23B/VCP,6
hsa-miR-182-5p,CC,GO:0005790,smooth endoplasmic reticulum,3/234,32/20820,0.0938,8.3413,4.4309,0.0055,0.0345,0.0248,RPL10/HSP90B1/HYOU1,3
hsa-miR-182-5p,CC,GO:0030027,lamellipodium,19/234,203/20820,0.0936,8.3276,11.1854,0,0,0,ACTB/ARPC2/ARPC3/CAPZB/CD44/CFL1/CIB1/CORO1C/FLOT1/FLOT2/IQGAP2/ITGB1/ITGB3/NCKAP1/PABPC1/RAC1/RDX/TESC/WASF2,19
hsa-miR-182-5p,BP,GO:0010833,telomere maintenance via telomere lengthening,7/234,75/20820,0.0933,8.3043,6.7562,0,5e-04,3e-04,CCT5/CCT8/HNRNPD/HSP90AA1/HSP90AB1/RPA1/TENT4B,7
hsa-miR-182-5p,MF,GO:0019003,GDP binding,7/234,75/20820,0.0933,8.3043,6.7562,0,5e-04,3e-04,NRAS/RAB11B/RAB2A/RAB5C/RAB7A/RAB8B/RAP2B,7
hsa-miR-182-5p,MF,GO:0048156,tau protein binding,4/234,43/20820,0.093,8.2767,5.0925,0.0014,0.0124,0.0089,ACTB/HSP90AA1/HSP90AB1/ROCK2,4
hsa-miR-182-5p,BP,GO:0090504,epiboly,4/234,43/20820,0.093,8.2767,5.0925,0.0014,0.0124,0.0089,CD44/FLNA/ITGB1/ITGB3,4
hsa-miR-182-5p,BP,GO:0009134,nucleoside diphosphate catabolic process,10/234,108/20820,0.0926,8.2384,8.0407,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,MF,GO:0050661,NADP binding,5/234,54/20820,0.0926,8.2384,5.6782,3e-04,0.0044,0.0032,G6PD/GAPDH/IDH1/PGD/SRD5A1,5
hsa-miR-182-5p,BP,GO:0050819,negative regulation of coagulation,5/234,54/20820,0.0926,8.2384,5.6782,3e-04,0.0044,0.0032,ANXA2/ANXA5/CD9/F2/GP1BA,5
hsa-miR-182-5p,MF,GO:0019843,rRNA binding,6/234,65/20820,0.0923,8.213,6.2096,1e-04,0.0016,0.0011,DDX21/RPL9/RPS13/RPS18/RPS5/RPS9,6
hsa-miR-182-5p,CC,GO:0055038,recycling endosome membrane,10/234,109/20820,0.0917,8.1628,7.9937,0,0,0,CD274/HLA-A/PDIA3/RAB11B/RAB8B/RAC1/RAP2B/TFRC/VAMP3/VTI1B,10
hsa-miR-182-5p,BP,GO:0097178,ruffle assembly,4/234,44/20820,0.0909,8.0886,5.0183,0.0015,0.0131,0.0094,CORO1C/PFN1/RAC1/RDX,4
hsa-miR-182-5p,BP,GO:0071875,adrenergic receptor signaling pathway,3/234,33/20820,0.0909,8.0886,4.3448,0.006,0.0368,0.0265,ATP2B4/GNAI2/GNAS,3
hsa-miR-182-5p,BP,GO:0086011,membrane repolarization during action potential,3/234,33/20820,0.0909,8.0886,4.3448,0.006,0.0368,0.0265,ATP1A1/FLNA/YWHAE,3
hsa-miR-182-5p,BP,GO:0090322,regulation of superoxide metabolic process,3/234,33/20820,0.0909,8.0886,4.3448,0.006,0.0368,0.0265,PON3/ELAVL1/GNAI2,3
hsa-miR-182-5p,MF,GO:0140311,protein sequestering activity,3/234,33/20820,0.0909,8.0886,4.3448,0.006,0.0368,0.0265,YWHAE/YWHAG/YWHAZ,3
hsa-miR-182-5p,BP,GO:1902547,regulation of cellular response to vascular endothelial growth factor stimulus,3/234,33/20820,0.0909,8.0886,4.3448,0.006,0.0368,0.0265,ATP2B4/CD63/ITGB1,3
hsa-miR-182-5p,BP,GO:0030219,megakaryocyte differentiation,6/234,67/20820,0.0896,7.9679,6.0904,1e-04,0.0018,0.0013,CIB1/FLNA/GP1BA/GP1BB/TESC/WASF2,6
hsa-miR-182-5p,BP,GO:0002639,positive regulation of immunoglobulin production,5/234,56/20820,0.0893,7.9441,5.5476,4e-04,0.005,0.0036,GPI/HPX/PHB1/PHB2/TFRC,5
hsa-miR-182-5p,BP,GO:0019362,pyridine nucleotide metabolic process,16/234,180/20820,0.0889,7.9088,9.9252,0,0,0,PFKM/PFKP/ALDOA/ENO1/G6PD/GAPDH/GPI/IDH1/LDHB/PGAM1/PGD/PGK1/PKM/SRC/TKT/VCP,16
hsa-miR-182-5p,BP,GO:0046496,nicotinamide nucleotide metabolic process,16/234,180/20820,0.0889,7.9088,9.9252,0,0,0,PFKM/PFKP/ALDOA/ENO1/G6PD/GAPDH/GPI/IDH1/LDHB/PGAM1/PGD/PGK1/PKM/SRC/TKT/VCP,16
hsa-miR-182-5p,BP,GO:0061515,myeloid cell development,8/234,90/20820,0.0889,7.9088,7.0029,0,2e-04,2e-04,ANXA2/FLNA/G6PD/GP1BA/GP1BB/RPS6/SRC/WASF2,8
hsa-miR-182-5p,BP,GO:0007599,hemostasis,22/234,248/20820,0.0887,7.8929,11.6423,0,0,0,FBLN1/ACTB/ANXA2/ANXA5/CD9/F11R/F13A1/F2/FLNA/GNAS/GP1BA/GP1BB/GPI/ITGA2/ITGB3/PDIA3/PPIA/PTPRJ/RAP2B/SRC/TLN1/VCL,22
hsa-miR-182-5p,BP,GO:0009112,nucleobase metabolic process,3/234,34/20820,0.0882,7.8507,4.2623,0.0065,0.0386,0.0278,CMPK1/GART/TTR,3
hsa-miR-182-5p,MF,GO:0015035,protein-disulfide reductase activity,3/234,34/20820,0.0882,7.8507,4.2623,0.0065,0.0386,0.0278,PDIA3/PGK1/TXNRD1,3
hsa-miR-182-5p,BP,GO:0018198,peptidyl-cysteine modification,3/234,34/20820,0.0882,7.8507,4.2623,0.0065,0.0386,0.0278,ATP2B4/GAPDH/RAB6A,3
hsa-miR-182-5p,BP,GO:1901889,negative regulation of cell junction assembly,3/234,34/20820,0.0882,7.8507,4.2623,0.0065,0.0386,0.0278,CORO1C/ROCK2/SRC,3
hsa-miR-182-5p,MF,GO:0016504,peptidase activator activity,5/234,57/20820,0.0877,7.8048,5.4848,4e-04,0.0054,0.0039,CTSC/FBLN1/HSPD1/ROCK2/VCP,5
hsa-miR-182-5p,BP,GO:1904356,regulation of telomere maintenance via telomere lengthening,5/234,57/20820,0.0877,7.8048,5.4848,4e-04,0.0054,0.0039,CCT5/CCT8/HNRNPD/HSP90AA1/TENT4B,5
hsa-miR-182-5p,CC,GO:0031256,leading edge membrane,16/234,183/20820,0.0874,7.7792,9.8204,0,0,0,HIP1R/CD44/CFL1/CIB1/CORO1C/DIAPH1/EEF1A1/ITGB1/ITGB3/NCKAP1/NME1/PTPRJ/RAC1/SRC/TESC/TLN1,16
hsa-miR-182-5p,BP,GO:0007596,blood coagulation,21/234,241/20820,0.0871,7.753,11.242,0,0,0,FBLN1/ACTB/ANXA2/ANXA5/CD9/F11R/F13A1/F2/FLNA/GNAS/GP1BA/GP1BB/ITGA2/ITGB3/PDIA3/PPIA/PTPRJ/RAP2B/SRC/TLN1/VCL,21
hsa-miR-182-5p,BP,GO:0048857,neural nucleus development,6/234,69/20820,0.087,7.7369,5.9761,1e-04,0.0021,0.0015,ACTB/CALM1/G6PD/YWHAE/YWHAH/YWHAQ,6
hsa-miR-182-5p,BP,GO:0006739,NADP metabolic process,4/234,46/20820,0.087,7.7369,4.8768,0.0018,0.0149,0.0107,G6PD/IDH1/PGD/TKT,4
hsa-miR-182-5p,BP,GO:0010712,regulation of collagen metabolic process,4/234,46/20820,0.087,7.7369,4.8768,0.0018,0.0149,0.0107,F2/ITGA2/ITGB1/VIM,4
hsa-miR-182-5p,BP,GO:0033574,response to testosterone,4/234,46/20820,0.087,7.7369,4.8768,0.0018,0.0149,0.0107,GPI/MSN/ROCK2/SRD5A1,4
hsa-miR-182-5p,BP,GO:0097106,postsynaptic density organization,4/234,46/20820,0.087,7.7369,4.8768,0.0018,0.0149,0.0107,FGFR1/IL1RAP/ITGB3/SLC30A1,4
hsa-miR-182-5p,BP,GO:0006826,iron ion transport,5/234,58/20820,0.0862,7.6702,5.4234,5e-04,0.0057,0.0041,CP/HPX/RAB11B/STEAP3/TFRC,5
hsa-miR-182-5p,CC,GO:0044391,ribosomal subunit,16/234,186/20820,0.086,7.6537,9.7181,0,0,0,EIF2A/RPL10/RPL13/RPL14/RPL18/RPL27A/RPL29/RPL3/RPL35/RPL9/RPS13/RPS18/RPS5/RPS6/RPS7/RPS9,16
hsa-miR-182-5p,BP,GO:0009185,ribonucleoside diphosphate metabolic process,11/234,128/20820,0.0859,7.6462,8.0414,0,0,0,PFKM/PFKP/ALDOA/CMPK1/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,11
hsa-miR-182-5p,MF,GO:0003735,structural constituent of ribosome,15/234,175/20820,0.0857,7.6264,9.3851,0,0,0,RPL10/RPL13/RPL14/RPL18/RPL27A/RPL29/RPL3/RPL35/RPL9/RPS13/RPS18/RPS5/RPS6/RPS7/RPS9,15
hsa-miR-182-5p,MF,GO:0097110,scaffold protein binding,6/234,70/20820,0.0857,7.6264,5.9206,1e-04,0.0022,0.0016,ATP2B4/HSP90AA1/PHF6/SRC/VIM/YWHAE,6
hsa-miR-182-5p,CC,GO:0002080,acrosomal membrane,3/234,35/20820,0.0857,7.6264,4.183,0.007,0.041,0.0295,BSG/FLOT2/RAB6A,3
hsa-miR-182-5p,BP,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,3/234,35/20820,0.0857,7.6264,4.183,0.007,0.041,0.0295,NONO/PPIA/TRAP1,3
hsa-miR-182-5p,BP,GO:0072524,pyridine-containing compound metabolic process,16/234,187/20820,0.0856,7.6128,9.6845,0,0,0,PFKM/PFKP/ALDOA/ENO1/G6PD/GAPDH/GPI/IDH1/LDHB/PGAM1/PGD/PGK1/PKM/SRC/TKT/VCP,16
hsa-miR-182-5p,BP,GO:0009135,purine nucleoside diphosphate metabolic process,10/234,117/20820,0.0855,7.6046,7.638,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,10/234,117/20820,0.0855,7.6046,7.638,0,0,0,PFKM/PFKP/ALDOA/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,10
hsa-miR-182-5p,BP,GO:0050817,coagulation,21/234,246/20820,0.0854,7.5954,11.0943,0,0,0,FBLN1/ACTB/ANXA2/ANXA5/CD9/F11R/F13A1/F2/FLNA/GNAS/GP1BA/GP1BB/ITGA2/ITGB3/PDIA3/PPIA/PTPRJ/RAP2B/SRC/TLN1/VCL,21
hsa-miR-182-5p,BP,GO:0051701,biological process involved in interaction with host,15/234,176/20820,0.0852,7.583,9.3506,0,0,0,FBLN1/BSG/CD55/F11R/HSP90AB1/ILF3/ITGA2/ITGB1/ITGB3/PHB1/PPIA/RAB7A/SLC1A5/SRC/TFRC,15
hsa-miR-182-5p,BP,GO:1900182,positive regulation of protein localization to nucleus,8/234,94/20820,0.0851,7.5723,6.8089,0,3e-04,2e-04,CCT5/CCT8/F2/FLNA/HSP90AA1/SRC/TFRC/TRIM28,8
hsa-miR-182-5p,BP,GO:0002920,regulation of humoral immune response,4/234,47/20820,0.0851,7.5723,4.8091,0.0019,0.0157,0.0113,C1QBP/CD55/HPX/PHB1,4
hsa-miR-182-5p,CC,GO:0043209,myelin sheath,4/234,47/20820,0.0851,7.5723,4.8091,0.0019,0.0157,0.0113,ANXA2/CALM1/HSP90AA1/ITGB1,4
hsa-miR-182-5p,MF,GO:0008135,translation factor activity RNA binding,7/234,83/20820,0.0843,7.5039,6.3298,0,8e-04,6e-04,EIF2A/EIF3H/EEF1A1/EEF2/EIF4A2/EIF4G1/EIF5A,7
hsa-miR-182-5p,BP,GO:0046718,symbiont entry into host cell,11/234,131/20820,0.084,7.4711,7.9213,0,0,0,BSG/CD55/F11R/ILF3/ITGA2/ITGB1/ITGB3/PHB1/SLC1A5/SRC/TFRC,11
hsa-miR-182-5p,CC,GO:0042383,sarcolemma,12/234,143/20820,0.0839,7.4664,8.2725,0,0,0,ANXA2/ANXA5/ATP1A1/ATP2B4/BSG/CIB1/CORO1C/FLOT1/ITGB1/RDX/SLC30A1/VCL,12
hsa-miR-182-5p,MF,GO:0180051,translation factor activity,7/234,84/20820,0.0833,7.4145,6.2805,0,9e-04,6e-04,EIF2A/EIF3H/EEF1A1/EEF2/EIF4A2/EIF4G1/EIF5A,7
hsa-miR-182-5p,BP,GO:1902175,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,4/234,48/20820,0.0833,7.4145,4.7435,0.0021,0.0169,0.0122,NONO/PPIA/SFPQ/TRAP1,4
hsa-miR-182-5p,BP,GO:1905145,cellular response to acetylcholine,4/234,48/20820,0.0833,7.4145,4.7435,0.0021,0.0169,0.0122,ATP2B4/GNAI2/GNB1/ROCK2,4
hsa-miR-182-5p,CC,GO:0008180,COP9 signalosome,3/234,36/20820,0.0833,7.4145,4.1068,0.0076,0.0434,0.0312,ATP5F1A/FLOT1/HSP90AB1,3
hsa-miR-182-5p,BP,GO:1902624,positive regulation of neutrophil migration,3/234,36/20820,0.0833,7.4145,4.1068,0.0076,0.0434,0.0312,CD99/C1QBP/RAC1,3
hsa-miR-182-5p,BP,GO:2000765,regulation of cytoplasmic translation,3/234,36/20820,0.0833,7.4145,4.1068,0.0076,0.0434,0.0312,HNRNPD/PABPC1/PKM,3
hsa-miR-182-5p,BP,GO:0009988,cell-cell recognition,6/234,73/20820,0.0822,7.313,5.7606,2e-04,0.0026,0.0019,ALDOA/CCT5/CCT8/CD9/MSN/VDAC2,6
hsa-miR-182-5p,BP,GO:0032272,negative regulation of protein polymerization,6/234,73/20820,0.0822,7.313,5.7606,2e-04,0.0026,0.0019,HIP1R/CAPZA1/MAPRE1/PFN1/RDX/VDAC2,6
hsa-miR-182-5p,BP,GO:0009132,nucleoside diphosphate metabolic process,11/234,134/20820,0.0821,7.3039,7.805,0,0,0,PFKM/PFKP/ALDOA/CMPK1/ENO1/GAPDH/GPI/PGAM1/PGK1/PKM/SRC,11
hsa-miR-182-5p,BP,GO:0044403,biological process involved in symbiotic interaction,18/234,220/20820,0.0818,7.2797,9.9832,0,0,0,FBLN1/BSG/CD55/F11R/F2/GAPDH/HSP90AB1/HSPD1/ILF3/ITGA2/ITGB1/ITGB3/PHB1/PPIA/RAB7A/SLC1A5/SRC/TFRC,18
